HUC8,septic/rv,Legal_Name,Common_Name,City,done,treatmentClass,collectionClass,basin,subbasin,stream,permYr,EPAref,type1,type2,recycledReuse,emergencyOverflow,recycledBiosolids,yearRoundDischarge,BOD5_monthly_lbs_day,BOD5_max_lbs_day,TSS_monthly_average_lbs_day,TSS_max_lbs_day,dryDesignFlowMGD,massLoadFlowMGD,constructionYear,phone,firstname,lastname,note1,note2
,no,"SANDY, CITY OF",SANDY WWTP,Boring,remove?,3,2,Willamette,Lower Willamette,Tickle Creek,2010,OR0026573,activated sludge,na,1,1,0,no,125,250,125,250,1.25,1.85,,503-668-3251,Guy,Crawford,over 1MGD,
,no,"SCAPPOOSE, CITY OF",SCAPPOOSE STP,Scappoose,remove?,3,2,Willamette,Lower Willamette,Mutnomah Channel,2010,OR0022420,activated sludge,extended aeration,0,0,0,yes,315,630,315,630,1.515,1.515,,503-543-7183,Kevin,Turner,over 1MGD,
,no,"SHADY COVE, CITY OF",SHADY COVE STP,Central Point,y,3,2,Southern Oregon Coastal,Upper Rogue,Upper Rogue,2011,OR0030660,activated sludge,na,0,0,0,yes,170,350,170,350,0.45,0.694,,(541) 727-6881,Carl,Tappert,,
,no,"STANFIELD, CITY OF",STANFIELD STP,Stanfield,y,2,2,Umatilla,Umatilla,Umatilla River,2012,OR0026972,trickling filter,na,1,0,1,no,56,110,84,170,0.224,0.224,,(541) 449-3831,Scott A,Morris,mass load based on prior permit,
,?,THREE RIVERS SCHOOL DISTRICT,HIDDEN VALLEY HIGH SCHOOL STP,Grants Pass,maybe septic?,,,,,,,,,,,,,,,,,,,,1933,541-476-6304,Donald,Hiler,,
,?,THREE RIVERS/JOSEPHINE COUNTY UNIT JOINT SCHOOL DISTRICT,FLEMING MIDDLE SCHOOL STP,Grants Pass,maybe septic?,,,,,,,,,,,,,,,,,,,,1933,(541) 476-6304,Donald,Hiler,,
,no,"TOLEDO, CITY OF",TOLEDO STP,Toledo,y,3,2,Northern Oregon Coastal,Siletz/Yaquina,Yaquina River,2005,OR0020869,activated sludge,na,0,0,0,yes,270,550,270,550,0.73,1.64,1953,(541)336-2610,Ricardo (Ric),Saavedra,,
,no,TWIN ROCKS SANITARY DISTRICT,TWIN ROCKS WWTP,Rockaway Bch,y,2,1,Northern Oregon Coastal,Wilson/Trask/Nestucca,Pacific Ocean,2018,OR0023493,activated sludge,na,0,0,0,yes,75,150,75,150,0.19,0.3,,503-355-2666,Joe,Nemeyer,,
,no,"UMATILLA, CITY OF",UMATILLA STP,Umatilla,y,3,2,Umatilla,Middle Columbia/Boardman,Columbia River,2004,OR0022306,oxidation ditch,na,0,0,0,yes,200,400,200,400,0.8,0.8,,541-922-3226,Chris,Stensrud,,
,no,"UNION, CITY OF",UNION STP,Union,y,2,2,Grande Ronde,Upper Grande Ronde,Catherine Creek,2004,OR0029939,biological contactors,na,1,0,0,no,91,180,91,180,0.365,0.365,,541-562-5623,Ralph,Riomondo,rotating & submerged,can only discharge at cfs > 17 oct-june
,?,"US ARMY CORPS OF ENGINEERS, BONNEVILLE LOCK AND DAM",BONNEVILLE;USACOE-TANNER CREEK WASTEWATER TREATMENT PLANT,Cascade Locks,maybe septic?,,,,,,,,,,,,,,,,,,,,1968_1998,307-250-0768,Joe,Davis,,
,?,USDA/US FOREST SERVICE - COLUMBIA RIVER GORGE NAT'L SCENIC AREA,MULTNOMAH FALLS LODGE STP,The Dalles,maybe septic?,,,,,,,,,,,,,,,,,,,,1937,541-993-2374,Dennis,Ervin,,
,no,"WALDPORT, CITY OF",WALDPORT WWTP,Waldport,y,2,2,Northern Oregon Coastal,Alsea,Lint Slough,2020,OR0034053,activated sludge,sequencing batch reactor,0,0,1,yes,30,60,30,60,0.7,0.822,,541-563-2111,Scott,Andry,,
,?,Water Environmental Services,WES (Hoodland STP),Welches,y,3,2,Sandy,Lower Columbia/Sandy,Sandy River,2017,OR0031020,biological contactors,na,0,0,1,yes,150,300,150,300,0.9,0.9,,503-742-4567,Greg,Eyerly,rotating,two outfalls
,no,"WESTFIR, CITY OF",WESTFIR STP,Westfir,y,1,1,Willamette,Middle Willamette,North Fork Middle Fork Willamette River,2010,OR0028282,trickling filter,na,0,0,0,yes,7.5,15,7.5,15,0.03,0.03,1956,(541) 554-8660,Jackson,Stone,upgraded/replaced 2008 to advantex recirculating suspended fabric filter system,collection replaced w/gravity collection in 2001
,?,WESTPORT SEWER SERVICE DISTRICT,WESTPORT SEWER SERVICE DISTRICT STP,Astoria,y,1,1,Lower Columbia,Lower Columbia/Clatskanie,Westport Slough,2009,OR0037496,STEP system,recirculating fabric filter,0,0,0,yes,14,27,14,27,0.054,0.054,,971.212.5782,Sinclair,Frank,,
,?,WINCHESTER BAY SANITARY DISTRICT,WINCHESTER BAY STP,Winchester Bay,y,3,2,Umpqua,Umpqua,Umpqua River Estuary,2004,OR0022616,activated sludge,sequencing batch reactor,0,1,0,yes,80,160,80,160,0.32,0.64,,(541) 271-4214,Raymond,Davenport,expected ,
,no,"YACHATS, CITY OF",YACHATS STP,Yachats,y,2,2,Northern Oregon Coastal,Alsea,Pacific Ocean,2018,OR0020290,activated sludge,sequencing batch reactor,0,0,0,yes,37,75,37,75,0.33,0.15,1974,541-547-3385,David A,Buckwald,mass load based on design flow before upgrade,
,no,"YAMHILL, CITY OF",YAMHILL STP,Yamhill,y,1,1,Willamette,Yamhill,North Yamhill River,2003,OR0022802,lagoons,na,0,0,0,no,62,140,94,210,0.25,0.25,,503-662-4344,Richard,Howard,,
,?,GLIDE-IDLEYLD SANITARY DISTRICT,GLIDE-IDLEYLD SANITARY DISTRICT,Roseburg,y,2,2,Umpqua,North Umpqua,North Umpqua River,2005,OR0030261,activated sludge,na,0,0,0,yes,70,140,70,140,0.28,0.28,,(541) 459-4449 x 235,Ken H,Godard,,
,yes,MEADOWS UTILITIES LLC,MT. HOOD MEADOWS SKI RESORT,Mount Hood Parkdale,y,2,1,Middle Columbia,Middle Columbia/Hood,East Fork Hood River,2014,OR0022829,activated sludge,sequencing batch reactor,0,0,0,yes,6.3,12.6,6.3,12.6,0.038,0.038,,503-337-2222 x1292/1358,Patricio,Ramos,,
,?,LANE COMMUNITY COLLEGE,LANE COMMUNITY COLLEGE,Eugene,maybe septic?,,,,,,,,,,,,,,,,,,,,,(541) 463-5567,Dan,Conklin,,
,?,SUNDOWN SANITARY SEWER DISTRICT,SUNDOWN SANITARY SEWER DISTRICT,Astoria,remove?,2,1,Northern Oregon Coastal,Lower Columbia/Youngs,Youngs River,2006,OR0027219,activated sludge,na,0,0,0,yes,1.8,3.7,1.8,3.7,0.022,0.022,,360-701-6384,Kyle,Sharpsteen,HOA,
,?,WILLAMETTE LEADERSHIP ACADEMY,WILLAMETTE LEADERSHIP ACADEMY,Eugene,maybe septic?,,,,,,,,,,,,,,,,,,,,,541-246-2840,Roberta,Howard,,
,?,PORT ORFORD-LANGLOIS SCHOOL DISTRICT 2CJ,PACIFIC HIGH SCHOOL STP,Port Orford,maybe septic?,,,,,,,,,,,,,,,,,,,,,541-348-2176,Chad,Berry,,
,?,"RAY, HELEN; RICE HILL INVESTMENTS CORP.; SWEET HOME HOSPITALITY, LLC; EK ONKAR CORP.",RICE HILL EAST LAGOON,Oakland,maybe septic?,,,,,,,,,,,,,,,,,,,,2002,(541) 733-8573,Cory,Benzel,,
,yes,"BW PIER POINT INN, LLC",BEST WESTERN PIER POINT INN,Florence,maybe septic?,,,,,,,,,,,,,,,,,,,,1960,(541) 997-7191,Steven,Shrewsbury,,
,?,NESKOWIN REGIONAL SANITARY AUTHORITY,NESKOWIN REGIONAL SANITARY AUTHORITY STP,Neskowin,y,2,2,Northern Oregon Coastal,Wilson/Trask/Nestucca,Neskowin Creek,2011,OR0026964,activated sludge,sequencing batch reactor,0,0,0,no,18,35,18,35,0.11,0.21,,503-392-3257,Derrick,Shippee,storage lagoon 0.1MGD,
,?,US FOREST SERVICE,TIMBERLAKE STP,Estacada,maybe septic?,,,,,,,,,,,,,,,,,,,,,503-834-3439,Brian,Hickman,,
,yes,USDA; FOREST SERVICE,USFS - UMPQUA NATIONAL FOREST; WOLF CREEK CIVILIAN CONSERVATION CENTER,Roseburg,maybe septic?,,,,,,,,,,,,,,,,,,,,,541-643-6137,Jonathan,Woody,,
,yes,USDA; FOREST SERVICE,USFS - UMPQUA NATIONAL FOREST; TILLER RANGER STATION STP,Roseburg,maybe septic?,,,,,,,,,,,,,,,,,,,,,541-643-6137,Jonathan,Woody,,
,yes,CORVALLIS MHC LLC,KNOLL TERRACE MHC,Corvallis,maybe septic?,,,,,,,,,,,,,,,,,,,,1955,(541) 752-2225,Don,Banker,,
,yes,"BEVERLEY HILTERBRAND, K & D CANTRELL",RIVIERA MOBILE PARK,Grants Pass,maybe septic?,,,,,,,,,,,,,,,,,,,,1933,(541) 592-2156,Michael,Bollweg,,
,yes,"REGENCY OF OREGON, INC.",CANBY REGENCY MOBILE HOME PARK,Canby,maybe septic?,,,,,,,,,,,,,,,,,,,,,503-621-3070,Dena,Murray,,
,yes,DIAMOND HILL L.L.C.,SHERMAN BROS. TRUCKING,Harrisburg,maybe septic?,,,,,,,,,,,,,,,,,,,,,(541) 995-7751 ext. 2209,Secret,Spencer,,
,yes,"Laurel Ridge Mobile Home Park, Inc.",Laurel Ridge Mobile Home Park,Rainier,maybe septic?,,,,,,,,,,,,,,,,,,,,,503-396-6991,Jennifer,Nelson,,
,yes,"TILLAMOOK RV PARK, LLC",TILLAMOOK RV PARK,Vancouver (WA),maybe septic?,,,,,,,,,,,,,,,,,,,,,818-425-5820,Rhondi,Springer,,
,yes,PORT OF TILLAMOOK BAY,TILLAMOOK INDUSTRIAL PARK STP,Tillamook,maybe septic?,,,,,,,,,,,,,,,,,,,,,503-842-2413,Michael,Christie,,
