"","Flow","WQFileNbr","Legal_Name","Common_Name","Location","Fac_City","Fac_Zip_Code","County","Region","Latitude","Longitude","SIC_Code","Facility_Type","Permit_Type","Permit_Description","EPA_Class","Category","Contact_Desc","Organization","Contact_FName","Contact_LName","Contact_Address","City","State","Zip","Phone_Nbr","municipality"
"64","<1 MGD with lagoons",23458,"DAYTON, CITY OF","DAYTON STP","416 FERRY STREET","DAYTON","97114","YAMHILL","WR",45.1899,-123.07,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Dayton","Steve","Sagmiller","PO Box 339","Dayton","OR","97114-0339","(503) 437-0639","yes"
"65","<1 MGD with lagoons",23560,"DAYVILLE, CITY OF","CITY OF DAYVILLE","45473 HWY 26","DAYVILLE","97825","GRANT","ER",44.46,-119.53,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Dayville","Linda","Sagaser","PO Box 321","Dayville","OR","97825-0321","541-987-2849","yes"
"66","<1 MGD with lagoons",25491,"DUFUR, CITY OF","DUFUR STP","FIFTEEN MILE CR, SOUTH OF CITY","DUFUR","97021","WASCO","ER",45.4291,-121.1468,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Dufur","Brandon","Beachcamp","PO Box 145","Dufur","OR","97021-0145","541-467-2401","yes"
"67","<1 MGD with lagoons",25567,"DUNDEE, CITY OF","DUNDEE STP","520 SW 5TH STREET","DUNDEE","97115","YAMHILL","WR",45.281,-123.0133,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Dundee","Todd","Miller","PO Box 220","Dundee","OR","97115-0220","(541) 538-6700 x2","yes"
"68","<1 MGD with lagoons",96385,"EATINGER, AL","COUNTRY VIEW MOBILE HOME ESTATES","23611 HWY 62","TRAIL","97541","JACKSON","WR",42.6374,-122.8086,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Country View Mobile Estates","Alvin R","Eatinger","1361 Evan Ln","Ashland","OR","97520-7323","541-973-9200","yes"
"69","<1 MGD with lagoons",26200,"ECHO, CITY OF","ECHO STP","33245 BOWMAN RD.","ECHO","97826","UMATILLA","ER",45.74,-119.19,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Echo","Daren","Tuil","PO Box 9","Echo","OR","97826-0009","(541) 376-8411","yes"
"70","<1 MGD with lagoons",26885,"ELGIN, CITY OF","ELGIN STP","ONE MILE NORTHEAST OF ELGIN","ELGIN","97827","UNION","ER",45.59,-117.91,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Elgin","R.L.","Christian","PO Box 128","Elgin","OR","97827-0128","541-805-9115","yes"
"71","<1 MGD with lagoons",33060,"GERVAIS, CITY OF","GERVAIS STP","13307 Portland Rd. NE","GERVAIS","97026","MARION","WR",45.1129,-122.8899,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Gervais","Susie E","Marston","PO Box 329","Gervais","OR","97026-0329","(503) 792-4901","yes"
"72","<1 MGD with lagoons",100050,"GRAND RONDE SANITARY DISTRICT","GRAND RONDE STP","8630 GRAND RONDE ROAD","GRAND RONDE","97347","POLK","WR",45.0597,-123.6098,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Grand Ronde Sanitary District","Roy","Bradley","PO Box 116","Grand Ronde","OR","97347-0116","(503) 879-5231","yes"
"73","<1 MGD with lagoons",36320,"HALSEY, CITY OF","HALSEY STP","27375 Powerline Road","HALSEY","97348","LINN","WR",44.3883,-123.1167,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Halsey","Andy","Ridinger","PO Box 10","Halsey","OR","97348-0010","(541) 501-9132","yes"
"74","<1 MGD with lagoons",105415,"HARRISBURG, CITY OF","HARRISBURG LAGOON TREATMENT PLANT","23914 PEORIA ROAD","HARRISBURG","97446","LINN","WR",44.2902,-123.1828,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Harrisburg","Chuck","Scholz","PO Box 378","Harrisburg","OR","97446-0378","(541) 995-6655","yes"
"75","<1 MGD with lagoons",40981,"HUNTINGTON, CITY OF","HUNTINGTON STP","23 FT N OF LOTS 11 & 12 ON BLOCK 5","HUNTINGTON","97907","BAKER","ER",44.4101,-117.31,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Huntington","Rick","Addleman","PO Box 369","Huntington","OR","97907-0369","541-869-2202","yes"
"76","<1 MGD with lagoons",41513,"INDEPENDENCE, CITY OF","INDEPENDENCE STP","END OF WILLIAMS STREET","INDEPENDENCE","97351","POLK","WR",44.8583,-123.1958,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Independence","Chad","Tracey","PO Box 7","Independence","OR","97351-0007","(503) 838-4781","yes"
"77","<1 MGD with lagoons",44329,"JOSEPH, CITY OF","JOSEPH STP","MAPLE STREET","JOSEPH","97846","WALLOWA","ER",45.34,-117.21,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Joseph","Levi","Tickner","PO Box 15","Joseph","OR","97846-0015","5413981804","yes"
"78","<1 MGD with lagoons",44509,"JUNCTION CITY, CITY OF","JUNCTION CITY STP","HIGH PASS ROAD","JUNCTION CITY","97448","LANE","WR",44.219,-123.23,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Junction City","Jason","Knope","PO Box 250","Junction City","OR","97448-0250","(541) 998-3125","yes"
"79","<1 MGD with lagoons",100077,"MARION COUNTY AND BROOKS COMMUNITY SEWER DISTRICT","BROOKS SEWAGE TREATMENT PLANT","4860 BROOKLAKE RD NE","BROOKS","97305","MARION","WR",45.044,-122.9647,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Marion County - Public Works","Daniel","Shafer","5155 Silverton Rd NE","Salem","OR","97305-3802","(503) 365-3128","yes"
"80","<1 MGD with lagoons",57613,"MOLALLA, CITY OF","MOLALLA STP","12424 TOLIVER RD","MOLALLA","97038","CLACKAMAS","NWR",45.1552,-122.6111,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Molalla","Andy","Peters","PO Box 248","Molalla","OR","97038-0248","503-759-0220","yes"
"81","<1 MGD with lagoons",57871,"MONMOUTH, CITY OF","MONMOUTH STP","151 WEST MAIN STREET","MONMOUTH","97361","POLK","WR",44.8583,-123.2167,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Monmouth","Mark","Landau","151 Main St W","Monmouth","OR","97361-2136","(503) 838-2173","yes"
"82","<1 MGD with lagoons",57951,"MONROE, CITY OF","MONROE STP","AT MONROE CITY PARK ON HWY 99 W","MONROE","97456","BENTON","WR",44.315,-123.293,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Monroe","Rick","Hohnbaum","PO Box 486","Monroe","OR","97456-0486","541-954-6640","yes"
"83","<1 MGD with lagoons",59065,"MT. VERNON, CITY OF","MT VERNON STP","MOORE STREET","MT VERNON","97865","GRANT","ER",44.4111,-119.1169,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Mt Vernon","William R","Cearns","PO Box 647","Mount Vernon","OR","97865-0647","(541) 932-4688","yes"
"84","<1 MGD with lagoons",61787,"NEHALEM BAY WASTEWATER AGENCY","NEHALEM BAY STP","14000 TIDELAND ROAD","NEHALEM","97131","TILLAMOOK","NWR",45.715,-123.8869,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Nehalem Bay Wastewater Agency","Bruce","Halverson","PO Box 219","Nehalem","OR","97131-0219","(503) 368-5125","yes"
"85","<1 MGD with lagoons",61600,"NORTH POWDER, CITY OF","NORTH POWDER STP","2ND STREET","NORTH POWDER","97867","UNION","ER",45.03,-117.93,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of North Powder","Bonita","Herbert","PO Box 309","North Powder","OR","97867-0309","(541) 898-2185","yes"
"86","<1 MGD with lagoons",103468,"PHILOMATH, CITY OF","PHILOMATH WWTP","4702 Bell Fountain Rd","Corvallis","97333","BENTON","WR",44.5159,-123.3379,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Philomath","Kevin","Fear","PO Box 400","Philomath","OR","97370-0400","(541) 929-2644","yes"
"87","<1 MGD with lagoons",75064,"RICE HILL OWNERS ASSOCIATION, INC., THE","RICE HILL WEST LAGOON","W SIDE I-5 ~3/4 MI N RICE HILL INTERCHNG","YONCALLA","97499","DOUGLAS","WR",43.5469,-123.2886,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","The Rice Hill Owners Association, Inc.","Cory","Benzel","89140 Bridge St","Springfield","OR","97478-9590","(541) 733-8573","yes"
"88","<1 MGD with lagoons",79633,"SCIO, CITY OF","SCIO STP","38841 SW 6th Ave","SCIO","97374","LINN","WR",44.7,-122.853,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Scio","KOSTANTY (KO)","KAUROWSKI","PO Box 37","Scio","OR","97374-0037","(503) 394-3342","yes"
"89","<1 MGD with lagoons",80920,"SHERIDAN, CITY OF","SHERIDAN STP","139 NW YAMHILL STREET","SHERIDAN","97378","YAMHILL","WR",45.1004,-123.3957,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Sheridan Waste Water Treatment Plant","Kie","Cottam","120 SW Mill St","Sheridan","OR","97378-1832","(503) 843-3775","yes"
"90","<1 MGD with lagoons",81276,"SILETZ, CITY OF","SILETZ STP","1264 JAMES FRANK RD.","SILETZ","97380","LINCOLN","WR",44.7313,-123.9062,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Siletz","Allen","Middaugh","PO Box 318","Siletz","OR","97380-0318","(541) 444-2521","yes"
"91","<1 MGD with lagoons",87425,"TANGENT, CITY OF","TANGENT STP","HINCK RD BETWEEN HWY 34 & LAKE CR DR","TANGENT","97389","LINN","WR",44.5531,-123.1405,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","Vanco, Inc.","Rick","Hochstatter","PO Box 403","Tangent","OR","97389-0403","(541) 928-1657","yes"
"92","<1 MGD with lagoons",92762,"VENETA, CITY OF","VENETA STP","24679 SERTIC RD","VENETA","97487","LANE","WR",44.0453,-123.3842,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Veneta","Kyle","Schauer","PO Box 458","Veneta","OR","97487-0458","(541) 935-2191","yes"
"93","<1 MGD with lagoons",92773,"VERNONIA, CITY OF","VERNONIA STP","943 CALIFORNIA AVENUE","VERNONIA","97064","COLUMBIA","NWR",45.8559,-123.1887,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Vernonia","Jeff","Burch","1001 Bridge St","Vernonia","OR","97064-1240","(503) 429-5291","yes"
"94","<1 MGD with lagoons",93617,"WALLOWA, CITY OF","WALLOWA STP","700 N. PINE ST.","WALLOWA","97885","WALLOWA","ER",45.5722,-117.5282,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Wallowa","Travis S","Goebel","PO Box 487","Wallowa","OR","97885-0487","(541) 886-2422","yes"
"95","<1 MGD with lagoons",93769,"WARRENTON, CITY OF","WARRENTON, CITY OF STP","SKIPANON DR/5TH ST/COLUMBIA R ESTUARY","WARRENTON","97146","CLATSOP","NWR",46.174,-123.9193,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Warrenton","Kyle","Sharpsteen","PO Box 250","Warrenton","OR","97146-0250","(503) 861-2460","yes"
"96","<1 MGD with lagoons",16592,"Water Environment Services","WES (Boring STP)","13305 RICHEY RD","BORING","97009","CLACKAMAS","NWR",45.4269,-122.3742,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact",NA,"Greg","Eyerly","15941 S Agnes Ave","Oregon City","OR","97045","503-742-4567","yes"
"97","<1 MGD with lagoons",97397,"WILLAMINA, CITY OF","WILLAMINA STP","ADAMS AND LINCOLN STS","WILLAMINA","97396","YAMHILL","WR",45.0754,-123.4804,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Willamina","Richard","Haynes","411 NE C St","Willamina","OR","97396-2783","(503) 437-6779","yes"
"98","<1 MGD with lagoons",99492,"YONCALLA, CITY OF","YONCALLA STP","380 HALO TRAIL ROAD","YONCALLA","97499-9722","DOUGLAS","WR",43.604,-123.2777,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Yoncalla","Rhonda","Rasmussen","PO Box 508","Yoncalla","OR","97499-0508","(541) 849-2152","yes"
"99","< 1MGD",500,"ADAIR VILLAGE, CITY OF","ADAIR VILLAGE STP","7295 N.E. ARNOLD AVE","ADAIR VILLAGE","97330","BENTON","WR",44.6725,-123.2137,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Adair Village","Matt","Lydon","6030 NE William R Carr St","Adair Village","OR","97330-9444","541-745-5507","yes"
"100","< 1MGD",3300,"ARCH CAPE SANITARY DISTRICT","ARCH CAPE STP","32065 East Shingle Mill Lane","ARCH CAPE","97102","CLATSOP","NWR",45.8037,-123.9552,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Arch Cape Service District","Phil","Chick","32065 E Shingle Mill Ln","Arch Cape","OR","97102-0168","503-436-2790","yes"
"101","< 1MGD",3384,"ARLINGTON, CITY OF","ARLINGTON STP","100 Plant Rd.","ARLINGTON","97812","GILLIAM","ER",45.71,-120.2,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Arlington","Brian L","Foster","PO Box 68","Arlington","OR","97812-0068","541-454-2740","yes"
"102","< 1MGD",4086,"ATHENA, CITY OF","ATHENA STP","SOUTHWEST EDGE OF ATHENA","ATHENA","97813","UMATILLA","ER",45.8086,-118.4894,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Athena","Kenneth","Faircloth","PO Box 686","Athena","OR","97813-0686","541-566-0228","yes"
"103","< 1MGD",5664,"BANDON, CITY OF","BANDON STP","80 Fillmore Ave SE","Bandon","97411","COOS","WR",43.1198,-124.409,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Bandon","Dennis","Lewis","PO Box 67","Bandon","OR","97411-0067","(541) 347-2437","yes"
"104","< 1MGD",108482,"BIGGS SERVICE DISTRICT","BSD WASTEWATER TREATMENT PLANT","91585 Biggs/Rufus Hwy","Wasco","97065","SHERMAN","ER",45.67,-120.83,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Biggs Service District","Dan","Black","PO Box 1022","The Dalles","OR","97058-9022","541-298-1779","yes"
"105","< 1MGD",11364,"BLACK BUTTE RANCH CORPORATION","BLACK BUTTE RANCH","71233 FIDDLENECK LANE","SISTERS","97759","DESCHUTES","ER",44.3785,-121.6801,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Black Butte Ranch Corporation","Swen","Petterson","PO Box 8000","Sisters","OR","97759-8000","(541) 595-1280","yes"
"106","< 1MGD",10696,"BRANDY BAR LANDING,INC.","BRANDY BAR LANDING,INC.","43605 STATE HWY 38","REEDSPORT","97467","DOUGLAS","WR",43.7,-124.1006,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Brandy Bar Landing, Inc.","Kenneth","Madlock","43605 State Hwy 38","Reedsport","OR","97467-8720","541-662-1955","yes"
"107","< 1MGD",12800,"BUTTE FALLS, TOWN OF","BUTTE FALLS STP","300 Falls Rd","Butte Falls","97522","JACKSON","WR",42.5457,-122.5695,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Town of Butte Falls","Christopher","Bray","PO Box 66","Butte Falls","OR","97522-0066","(541) 865-4382","yes"
"108","< 1MGD",13729,"CANNON BEACH, CITY OF","CANNON BEACH WWTP","295 E 2nd Street","CANNON BEACH","97110","CLATSOP","NWR",45.8966,-123.9571,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Cannon Beach","Bryce","Majors","PO Box 368","Cannon Beach","OR","97110-0368","503-436-1274","yes"
"109","< 1MGD",13745,"CANYONVILLE, CITY OF","CANYONVILLE STP","450 CANYONVILLE NORTH ROAD","CANYONVILLE","97417","DOUGLAS","WR",42.9422,-123.2797,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Canyonville","Rob","Siegrist","PO Box 765","Canyonville","OR","97417-0765","(541) 839-4258","yes"
"110","< 1MGD",108653,"CASCADE LOCKS, CITY OF","CASCADE LOCKS STP","105 HERMAN CREEK LANE","CASCADE LOCKS","97014","HOOD RIVER","ER",45.6822,-121.8646,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Cascade Locks","Louie","Hooks","818 Riverside Dr","Hood River","OR","97031-1179","541-386-2432","yes"
"111","< 1MGD",15243,"CAVE JUNCTION, CITY OF","CAVE JUNCTION WASTEWATER TREATMENT FACILITY","1300 SAWYER AVENUE","CAVE JUNCTION","97523","JOSEPHINE","WR",42.1757,-123.6508,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Cave Junction","Travis","Robbins","1300 Sawyer Ave","Cave Junction","OR","97523-1396","541-592-4590","yes"
"112","< 1MGD",41740,"Central Coast Clean Water Company","Otter Crest Water Treatment Facility","301 Otter Crest Loop","OTTER CREST","97369","LINCOLN","WR",44.76,-124.05,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact",NA,"John","Huntington","301 Otter Crest Loop","Otter Rock","OR","97369-9707","503-554-8333","yes"
"113","< 1MGD",96010,"CENTURY MEADOWS SANITARY SYSTEM, INC.","CENTURY MEADOWS SANITARY SYSTEM (CMSS)","11570 BLUE HERON LN NE","AURORA","97002","MARION","WR",45.2656,-122.8253,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Century Meadows Sanitary System, Inc.","Frank","Sinclair","PO Box 195/11733 Warbler Ln NE","Aurora","OR","97002-0195","(503) 728-8233","yes"
"114","< 1MGD",16310,"CHILOQUIN, CITY OF","CHILOQUIN STP","S OF CHOCKTOOT ST, E OF WILLIAMSON RIVER","CHILOQUIN","97624","KLAMATH","ER",42.54,-121.74,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Chiloquin","Charles","Case","PO Box 196","Chiloquin","OR","97624-0196","(541) 783-2922","yes"
"115","< 1MGD",16872,"CLATSKANIE, CITY OF","CLATSKANIE WWTP","190 NW 4TH ST, 1/4 MILE WEST ON DIKE RD","CLATSKANIE","97016","COLUMBIA","NWR",46.1081,-123.2056,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Clatskanie","Scott","Shulda","PO Box 9","Clatskanie","OR","97016-0009","(503) 728-2622 x22","yes"
"116","< 1MGD",17318,"CLOVERDALE SANITARY DISTRICT","CLOVERDALE STP","OFF HWY 101 IN CLOVERDALE","CLOVERDALE","97112","TILLAMOOK","NWR",45.2053,-123.8928,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Cloverdale Sanitary District","Richard","Nystrom","PO Box 157","Cloverdale","OR","97112-0157","503-392-3117","yes"
"117","< 1MGD",115851,"COBURG, CITY OF","COBURG WASTEWATER TREATMENT PLANT","BETWEEN I5 & COBURG N. RD.","COBURG","97408","LANE","WR",44.1167,-123.05,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Coburg","Brian A","Harmon","PO Box 8316","Eugene","OR","97408-1310","(541) 228-8281","yes"
"118","< 1MGD",20015,"COQUILLE, CITY OF","COQUILLE STP","300 Hwy 42 W","COQUILLE","97423-1289","COOS","WR",43.1739,-124.1933,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Coquille","Raymond","Doan","300 W Hwy 42 E","Coquille","OR","97423-1253","(541) 396-4286","yes"
"119","< 1MGD",24095,"DEPOE BAY, CITY OF","DEPOE BAY STP","212 S POINT ST","DEPOE BAY","97341-9663","LINCOLN","WR",44.8005,-124.0664,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Depoe Bay","Gary","Walls","PO Box 8","Depoe Bay","OR","97341-0008","(541) 765-2361","yes"
"120","< 1MGD",25282,"DRAIN, CITY OF","DRAIN STP","801 DIVISION AVENUE","DRAIN","97435","DOUGLAS","WR",43.6562,-123.3211,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Drain","Jim","Toy","801 Division Ave","Drain","OR","97435-0259","(541) 836-7301","yes"
"121","< 1MGD",27514,"ENTERPRISE, CITY OF","ENTERPRISE STP","905 GOLF COURSE ROAD","ENTERPRISE","97828","WALLOWA","ER",45.437,-117.2888,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Enterprise","Dave","Wilkie","102 E North St","Enterprise","OR","97828-1129","(541) 426-3093","yes"
"122","< 1MGD",27866,"ESTACADA, CITY OF","ESTACADA STP","800 NW Evergreen Way","ESTACADA","97023","CLACKAMAS","NWR",45.2982,-122.3444,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Estacada","Dave","Stone","PO Box 958","Estacada","OR","97023-0958","(503) 630-8270","yes"
"123","< 1MGD",28830,"FALLS CITY, CITY OF","FALLS CITY STP","R.M. 12 LITTLE LUCKIAMUTE","FALLS CITY","97344","POLK","WR",44.8706,-123.4461,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Falls City","Don","Poe","299 Mill St","Falls City","OR","97344-9800","(503) 787-3631","yes"
"124","< 1MGD",29850,"Fishhawk Lake Reserve and Community","FLRC (Fishhawk Lake)","71570 N SHORE DRIVE","BIRKENFELD","97016","CLATSOP","NWR",46.0315,-123.3674,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Fishhawk Lake Reserve & Community","Kevin","Adolphson","9997 Beach Dr","Birkenfeld","OR","97016-7266","503-755-2132","yes"
"125","< 1MGD",30554,"FOREST PARK MHP, LLC","FOREST PARK MOBILE VILLAGE","18830 SOUTH HWY. 99E","OREGON CITY","97045","CLACKAMAS","NWR",45.3382,-122.641,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Legal Contact","Forest Park MHP, LLC","Matthew","Harrell","659 NW Pacific Grove Dr","Beaverton","OR","97006-8377","(971) 570-4785","yes"
"126","< 1MGD",32087,"GARIBALDI, CITY OF","GARIBALDI STP","206 S 7TH STREET","GARIBALDI","971HH","TILLAMOOK","NWR",45.5538,-123.9138,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Garibaldi","Martin","McCormick","PO Box 708","Garibaldi","OR","97118-0708","(503) 322-0217","yes"
"127","< 1MGD",33733,"GLENDALE, CITY OF","GLENDALE STP","NORTH END OF SIXTH STREET","GLENDALE","97442","DOUGLAS","WR",42.7434,-123.4288,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact",NA,"Jacob","Brady","331 Merritt St","Glendale","OR","97442-9686","541-680-2707","yes"
"128","< 1MGD",33864,"GOLD BEACH, CITY OF","GOLD BEACH STP","500' W OF 94100 5TH PLACE","GOLD BEACH","97444","CURRY","WR",42.4097,-124.4233,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Gold Beach","Will","Newdall","29592 Ellensburg Ave","Gold Beach","OR","97444-6700","541-247-7459","yes"
"129","< 1MGD",33901,"GOLD HILL, CITY OF","GOLD HILL STP","2177 Second Ave","GOLD HILL","97525","JACKSON","WR",42.4374,-123.0767,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Legal Contact","City Of Gold Hill","Christina","Stanley","PO Box 308","Gold Hill","OR","97525-0308","541-855-1525","yes"
