"","Flow","WQFileNbr","Legal_Name","Common_Name","Location","Fac_City","Fac_Zip_Code","County","Region.x","Latitude","Longitude","SIC_Code","Facility_Type","Permit_Type","Permit_Description","EPA_Class","Category","Contact_Desc","Organization","Contact_FName","Contact_LName","Contact_Address","City","State","Zip","Phone_Nbr","municipality","5000_gal_bill","total_sewer_lines_mi","year_of_construction","year_of_renovation","total_ww_treated","level_of_treatment","Population","QCODE","Region.y","level_of_treatment_other","pop_2018","pop_2010","pop_2000","pop_1990","pop_1980","acres","HUC8","septic/rv","done","treatmentClass","collectionClass","basin","subbasin","stream","permYr","EPAref","type1","type2","recycledReuse","emergencyOverflow","recycledBiosolids","yearRoundDischarge","BOD5 monthly average lbs/day","BOD5 max lbs/day","TSS monthly average lbs/day","TSS max lbs/day","dryDesignFlowMGD","massLoadFlowMGD","note1","note2","upgrade1","upgrade1_cost","upgrade1_year","upgrade2","upgrade2_cost","upgrade2_year","upgrade3","upgrade3_cost","upgrade3_year","cap_cost","om_cost"
"35","<1 MGD with lagoons",92762,"VENETA, CITY OF","VENETA STP","24679 SERTIC RD","VENETA","97487","LANE","WR",44.0453,-123.3842,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Veneta","Kyle","Schauer","PO Box 458","Veneta","OR","97487-0458","(541) 935-2191","yes","46.26_51.97","11.5_11.5","1970_1970","2000_2002","226.8 MG_150.179MG","Primary, Secondary, Tertiary, Nitrogen Removal_____Primary,Secondary,Advanced Treatment/ Tertiary,Nitrogen Removal",4790,4,4,NA,"4,790","4,561","2,762","2,519","2,449",1639.45507439,NA,"no","y",2,"2","Willamette","Upper Willamette","Long Tom River",2007,"OR0020532","activated sludge","na",1,0,0,"no",130,260,"130","260",0.524,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","<1 MGD with lagoons",92773,"VERNONIA, CITY OF","VERNONIA STP","943 CALIFORNIA AVENUE","VERNONIA","97064","COLUMBIA","NWR",45.8559,-123.1887,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Vernonia","Jeff","Burch","1001 Bridge St","Vernonia","OR","97064-1240","(503) 429-5291","yes","","","","","","",NA,NA,NA,NA,"2,065","2,151","2,228","1,808","1,785",1064.69818104,NA,"no","y",1,"2","Northern Oregon Coastal","Nehalem","Nehalem River",2007,"OR0022560","lagoons","na",2,1,0,"no",140,280,"230","470",0.56,0.56,"recycled to groundwater wells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","<1 MGD with lagoons",93617,"WALLOWA, CITY OF","WALLOWA STP","700 N. PINE ST.","WALLOWA","97885","WALLOWA","ER",45.5722,-117.5282,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Wallowa","Travis S","Goebel","PO Box 487","Wallowa","OR","97885-0487","(541) 886-2422","yes","37","","","","","",805,2,11,NA,"805","808","869","748","847",394.555618439,NA,"no","y",1,"2","Grande Ronde","Wallowa","Wallowa River",2018,"OR0020028","lagoons","na",0,0,1,"yes",75,150,"210","420",0.203,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","<1 MGD with lagoons",93769,"WARRENTON, CITY OF","WARRENTON, CITY OF STP","SKIPANON DR/5TH ST/COLUMBIA R ESTUARY","WARRENTON","97146","CLATSOP","NWR",46.174,-123.9193,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Warrenton","Kyle","Sharpsteen","PO Box 250","Warrenton","OR","97146-0250","(503) 861-2460","yes","60.62","60","1968","2006","","Primary,Secondary,Nitrogen Removal",5310,4,1,NA,"5,310","4,989","4,096","2,681","2,493",11363.6436952,NA,"no","y",2,"2","Northern Oregon Coastal","Lower Columbia/Youngs","Columbia River",2013,"OR0020877","activated sludge","sequencing batch reactor",0,0,0,"yes",375,750,"375","750",1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","<1 MGD with lagoons",16592,"Water Environment Services","WES (Boring STP)","13305 RICHEY RD","BORING","97009","CLACKAMAS","NWR",45.4269,-122.3742,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact",NA,"Greg","Eyerly","15941 S Agnes Ave","Oregon City","OR","97045","503-742-4567","yes","","","","","","",NA,NA,NA,NA,"34,860","31,859","25,754","14,698","14,673",6467.65583987,17090011,"?","y",1,"1","Willamette","Clackamas","North Fork of Deep Creek",2020,"OR0031399","lagoons","na",1,0,0,"yes",3.4,6.8,"3.4","6.8",0.02,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","<1 MGD with lagoons",97397,"WILLAMINA, CITY OF","WILLAMINA STP","ADAMS AND LINCOLN STS","WILLAMINA","97396","YAMHILL","WR",45.0754,-123.4804,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City of Willamina","Richard","Haynes","411 NE C St","Willamina","OR","97396-2783","(503) 437-6779","yes","","","","","","",2160,3,3,NA,"2,160","2,025","1,844","1,748","1,749",606.204361596,NA,"no","y",1,"2","Willamette","Yamhill","South Yamhill River",2003,"OR0022713","lagoons","na",0,0,0,"no",120,240,"200","400",0.22,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","<1 MGD with lagoons",99492,"YONCALLA, CITY OF","YONCALLA STP","380 HALO TRAIL ROAD","YONCALLA","97499-9722","DOUGLAS","WR",43.604,-123.2777,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Db","Sewage - less than 1 MGD with discharging lagoons","MINOR","DOM","Facility Contact","City Of Yoncalla","Rhonda","Rasmussen","PO Box 508","Yoncalla","OR","97499-0508","(541) 849-2152","yes","55","","","","","",1070,2,7,NA,"1,070","1,047","1,052","919","805",417.436293853,NA,"no","y",1,"2","Umpqua","Umpqua","Yoncalla Creek",2006,"OR0022454","lagoons","na",0,0,0,"no",120,250,"200","410",0.14,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","< 1MGD",500,"ADAIR VILLAGE, CITY OF","ADAIR VILLAGE STP","7295 N.E. ARNOLD AVE","ADAIR VILLAGE","97330","BENTON","WR",44.6725,-123.2137,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Adair Village","Matt","Lydon","6030 NE William R Carr St","Adair Village","OR","97330-9444","541-745-5507","yes","","","","","","",860,2,4,NA,"860","840","536","554","589",275.681027137,NA,"no","y",2,"1","Willamette","Upper Willamette","Willamette River",2006,"OR0023396","trickling filter","storage pond",1,0,0,"no",80,160,"120","240",0.09,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","< 1MGD",3300,"ARCH CAPE SANITARY DISTRICT","ARCH CAPE STP","32065 East Shingle Mill Lane","ARCH CAPE","97102","CLATSOP","NWR",45.8037,-123.9552,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Arch Cape Service District","Phil","Chick","32065 E Shingle Mill Ln","Arch Cape","OR","97102-0168","503-436-2790","yes","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?","y",3,"2","Northern Oregon Coastal","Necanicum","Arch Cape Creek",2011,"OR0027499","activated sludge","membrane bioreactor",1,0,0,"no",25,50,"25","50",0.18,NA,"mass load based on prior permit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","< 1MGD",3384,"ARLINGTON, CITY OF","ARLINGTON STP","100 Plant Rd.","ARLINGTON","97812","GILLIAM","ER",45.71,-120.2,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Arlington","Brian L","Foster","PO Box 68","Arlington","OR","97812-0068","541-454-2740","yes","","","","","","",NA,NA,NA,NA,"610","586","524","425","521",2132.83919082,NA,"no","y",2,"2","John Day","Lower John Day","Columbia River",2004,"OR0020192","activated sludge","extended aeration",0,0,1,"yes",31,62,"31","62",0.125,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","< 1MGD",4086,"ATHENA, CITY OF","ATHENA STP","SOUTHWEST EDGE OF ATHENA","ATHENA","97813","UMATILLA","ER",45.8086,-118.4894,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Athena","Kenneth","Faircloth","PO Box 686","Athena","OR","97813-0686","541-566-0228","yes","42","6","1950","2012","","Secondary, Trickling Filter",NA,NA,NA,NA,"1,170","1,026","1,221","997","965",344.363095335,NA,"no","y",2,"2","Umatilla","Umatilla","Wildhorse Creek",2006,"OR0022811","trickling filter","na",1,0,1,"no",78,156,"na","na",0.31,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","< 1MGD",5664,"BANDON, CITY OF","BANDON STP","80 Fillmore Ave SE","Bandon","97411","COOS","WR",43.1198,-124.409,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Bandon","Dennis","Lewis","PO Box 67","Bandon","OR","97411-0067","(541) 347-2437","yes","34","","1973","1992","","Secondary",NA,NA,NA,NA,"3,155","3,066","2,833","2,215","2,311",2042.24119919,NA,"no","y",3,"2","Southern Oregon Coastal","Coquille","Coquille River",2014,"OR0020206","activated sludge","na",0,0,1,"yes",210,410,"210","410",0.45,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","< 1MGD",108482,"BIGGS SERVICE DISTRICT","BSD WASTEWATER TREATMENT PLANT","91585 Biggs/Rufus Hwy","Wasco","97065","SHERMAN","ER",45.67,-120.83,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Biggs Service District","Dan","Black","PO Box 1022","The Dalles","OR","97058-9022","541-298-1779","yes","46.32","98.8","1937","2017","803.52","Primary, Secondary",NA,NA,NA,NA,"14,735","13,620","12,156","11,021","10,820",4441.47263658,NA,"?","y",2,"1","Deschutes","Middle Columbia/Deschutes","Columbia River",2010,"OR0041246","extended aeration","na",0,0,0,"yes",13,26,"13","26",0.079,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","< 1MGD",12800,"BUTTE FALLS, TOWN OF","BUTTE FALLS STP","300 Falls Rd","Butte Falls","97522","JACKSON","WR",42.5457,-122.5695,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Town of Butte Falls","Christopher","Bray","PO Box 66","Butte Falls","OR","97522-0066","(541) 865-4382","yes","","","","","","",NA,NA,NA,NA,"440","423","439","252","428",246.357572323,NA,"no","y",2,"1","Rogue","Upper Rogue","South Fork of Big Butte Creek",2010,"OR0029891","activated sludge","na",1,0,0,"no",18,36,"18","36",0.07,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","< 1MGD",13729,"CANNON BEACH, CITY OF","CANNON BEACH WWTP","295 E 2nd Street","CANNON BEACH","97110","CLATSOP","NWR",45.8966,-123.9571,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Cannon Beach","Bryce","Majors","PO Box 368","Cannon Beach","OR","97110-0368","503-436-1274","yes","","","","","","",1710,3,1,NA,"1,710","1,690","1,588","1,221","1,187",968.304478251,NA,"no","y",2,"3","Northern Oregon Coastal","Necanicum","Ecola Creek via wetlands",2011,"OR0020222","activated sludge","na",0,0,0,"yes",190,380,"190","380",0.87,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","< 1MGD",13745,"CANYONVILLE, CITY OF","CANYONVILLE STP","450 CANYONVILLE NORTH ROAD","CANYONVILLE","97417","DOUGLAS","WR",42.9422,-123.2797,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Canyonville","Rob","Siegrist","PO Box 765","Canyonville","OR","97417-0765","(541) 839-4258","yes","80","","","","","",1920,3,7,NA,"1,920","1,884","1,293","1,219","1,288",665.779752473,NA,"no","y",3,"2","Umpqua","South Umpqua","South Umpqua River",2012,"OR0020729","activated sludge","na",0,0,0,"yes",100,210,"130","250",0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","< 1MGD",108653,"CASCADE LOCKS, CITY OF","CASCADE LOCKS STP","105 HERMAN CREEK LANE","CASCADE LOCKS","97014","HOOD RIVER","ER",45.6822,-121.8646,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Cascade Locks","Louie","Hooks","818 Riverside Dr","Hood River","OR","97031-1179","541-386-2432","yes","55_60.72","55","1974","2000","15 mgd","Primary, Secondary",7990,4,8,NA,"7,990","7,167","5,831","4,632","4,329",2171.87966019,NA,"no","y",2,"2","Hood","Middle Columbia/Hood","Columbia River",2013,"OR0041271","activated sludge","sequencing batch reactor",0,1,0,"yes",58,117,"83","166",0.493,0.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","< 1MGD",15243,"CAVE JUNCTION, CITY OF","CAVE JUNCTION WASTEWATER TREATMENT FACILITY","1300 SAWYER AVENUE","CAVE JUNCTION","97523","JOSEPHINE","WR",42.1757,-123.6508,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Cave Junction","Travis","Robbins","1300 Sawyer Ave","Cave Junction","OR","97523-1396","541-592-4590","yes","","","","","","",NA,NA,NA,NA,"1,940","1,883","1,363","1,126","1,023",1133.74343671,NA,"no","y",3,"2","Rogue","Illinois","Illinois River",2018,"OR0028339","activated sludge","na",1,0,0,"no",56,110,"56","110",0.52,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","< 1MGD",96010,"CENTURY MEADOWS SANITARY SYSTEM, INC.","CENTURY MEADOWS SANITARY SYSTEM (CMSS)","11570 BLUE HERON LN NE","AURORA","97002","MARION","WR",45.2656,-122.8253,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Century Meadows Sanitary System, Inc.","Frank","Sinclair","PO Box 195/11733 Warbler Ln NE","Aurora","OR","97002-0195","(503) 728-8233","yes","","","","","","",NA,NA,NA,NA,"985","918","655","567","523",311.634828795,NA,"?","y",1,"1","Willamette","Middle Willamette","Willamette River",2009,"OR0028037","activated sludge","extended aeration",0,0,0,"yes",10,20,"10","20",0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","< 1MGD",16310,"CHILOQUIN, CITY OF","CHILOQUIN STP","S OF CHOCKTOOT ST, E OF WILLIAMSON RIVER","CHILOQUIN","97624","KLAMATH","ER",42.54,-121.74,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Chiloquin","Charles","Case","PO Box 196","Chiloquin","OR","97624-0196","(541) 783-2922","yes","","","","","","",NA,NA,NA,NA,"740","734","716","673","778",486.912256539,NA,"no","y",2,"2","Klamath","Williamson","Williamson River",2016,"OR0020320","activated sludge","na",0,0,0,"yes",50,100,"50","100",0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","< 1MGD",16872,"CLATSKANIE, CITY OF","CLATSKANIE WWTP","190 NW 4TH ST, 1/4 MILE WEST ON DIKE RD","CLATSKANIE","97016","COLUMBIA","NWR",46.1081,-123.2056,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Clatskanie","Scott","Shulda","PO Box 9","Clatskanie","OR","97016-0009","(503) 728-2622 x22","yes","41.48_43.56","10.5_12","1973_1978","2006_2013","125.1_92.95 MGD","Secondary, Nitrogen Removal_____Primary,Secondary",1765,3,1,NA,"1,765","1,737","1,528","1,629","1,648",795.393665299,NA,"no","y",3,"2","Northern Oregon Coastal","Lower Columbia/Clatskanie","Clatskanie River",2004,"OR0020231","activated sludge","na",0,0,0,"yes",120,250,"120","250",0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","< 1MGD",17318,"CLOVERDALE SANITARY DISTRICT","CLOVERDALE STP","OFF HWY 101 IN CLOVERDALE","CLOVERDALE","97112","TILLAMOOK","NWR",45.2053,-123.8928,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Cloverdale Sanitary District","Richard","Nystrom","PO Box 157","Cloverdale","OR","97112-0157","503-392-3117","yes","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?","y",2,"1","Northern Oregon Coastal","Wilson/Trask/Nestucca","Nestucca River",2011,"OR0027294","activated sludge","na",0,0,0,"yes",3.5,7,"3.5","7",0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","< 1MGD",115851,"COBURG, CITY OF","COBURG WASTEWATER TREATMENT PLANT","BETWEEN I5 & COBURG N. RD.","COBURG","97408","LANE","WR",44.1167,-123.05,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Coburg","Brian A","Harmon","PO Box 8316","Eugene","OR","97408-1310","(541) 228-8281","yes","","","","","","",NA,NA,NA,NA,"169,695","156,185","137,893","112,733","105,664",28204.0937519,NA,"no","y",3,"2","Willamette","Upper Willamette","Unnamed Tributary to Muddy Creek",2009,"OR0044628","membrane bioreactor","na",1,0,0,"yes",29,57,"29","57",0.44,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","< 1MGD",20015,"COQUILLE, CITY OF","COQUILLE STP","300 Hwy 42 W","COQUILLE","97423-1289","COOS","WR",43.1739,-124.1933,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Coquille","Raymond","Doan","300 W Hwy 42 E","Coquille","OR","97423-1253","(541) 396-4286","yes","62_64","19.25","2012","2012","239.64","Primary, Secondary, Nitrogen Removal, Phosphorous Removal",3915,4,6,NA,"3,915","3,866","4,184","4,121","4,481",1744.29283016,NA,"no","y",2,"2","South Coast","Coquille","Coquille River",2004,"OR0026247","activated sludge","na",0,0,0,"yes",210,420,"250","500",0.66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","< 1MGD",24095,"DEPOE BAY, CITY OF","DEPOE BAY STP","212 S POINT ST","DEPOE BAY","97341-9663","LINCOLN","WR",44.8005,-124.0664,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Depoe Bay","Gary","Walls","PO Box 8","Depoe Bay","OR","97341-0008","(541) 765-2361","yes","","","","","","",NA,NA,NA,NA,"1,440","1,398","1,174","870","723",1135.37932245,NA,"no","y",2,"2","Northern Oregon Coastal","Siletz/Yaquina","Pacific Ocean",2011,"OR0026107","activated sludge","na",0,0,0,"yes",200,400,"200","400",0.85,0.9,"mass load calculated on highest monthly avg w/two year recurrence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","< 1MGD",25282,"DRAIN, CITY OF","DRAIN STP","801 DIVISION AVENUE","DRAIN","97435","DOUGLAS","WR",43.6562,-123.3211,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Drain","Jim","Toy","801 Division Ave","Drain","OR","97435-0259","(541) 836-7301","yes","76","7.6","1958","1988","109.88 MG","Primary, Secondary",1165,2,7,NA,"1,165","1,151","1,021","1,086","1,148",397.587420971,NA,"no","y",2,"2","Umpqua","Umpqua","Elm Creek",2004,"OR0029645","trickling filter - high rate","na",1,1,0,"no",75,150,"75","150",0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","< 1MGD",27514,"ENTERPRISE, CITY OF","ENTERPRISE STP","905 GOLF COURSE ROAD","ENTERPRISE","97828","WALLOWA","ER",45.437,-117.2888,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Enterprise","Dave","Wilkie","102 E North St","Enterprise","OR","97828-1129","(541) 426-3093","yes","","","","","","",NA,NA,NA,NA,"1,985","1,940","1,895","1,905","2,003",955.114838159,NA,"no","y",3,"2","Grande Ronde","Wallowa","Wallowa River",2014,"OR0020567","activated sludge","extended aeration",1,0,1,"yes",190,380,"190","380",0.75,0.75,"aero-mod SEQUOX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","< 1MGD",27866,"ESTACADA, CITY OF","ESTACADA STP","800 NW Evergreen Way","ESTACADA","97023","CLACKAMAS","NWR",45.2982,-122.3444,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Estacada","Dave","Stone","PO Box 958","Estacada","OR","97023-0958","(503) 630-8270","yes","37.3","","","","","",NA,NA,NA,NA,"3,400","2,695","2,371","2,016","1,419",1443.70478963,NA,"no","y",3,"2","Willamette","Clackamas","Clackamas River",2010,"OR0020575","activated sludge","trickling filter",0,0,0,"yes",90,180,"90","180",0.54,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","< 1MGD",28830,"FALLS CITY, CITY OF","FALLS CITY STP","R.M. 12 LITTLE LUCKIAMUTE","FALLS CITY","97344","POLK","WR",44.8706,-123.4461,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Falls City","Don","Poe","299 Mill St","Falls City","OR","97344-9800","(503) 787-3631","yes","3","5.5","1984","2000","1058255","_____Primary,Secondary,Advanced Treatment/ Tertiary,Other (Please Specify)",955,2,3,"Ultra violet","955","947","966","818","804",768.619301241,NA,"no","maybe septic?",1,"1","Willamette","Middle Willamette","Little Luckiamute River",2007,"OR0032701","recirculating gravel filter","na",0,1,0,"no",4.4,8.8,"4.4","8.8",0.026,0.026,"overflow to septic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","< 1MGD",29850,"Fishhawk Lake Reserve and Community","FLRC (Fishhawk Lake)","71570 N SHORE DRIVE","BIRKENFELD","97016","CLATSOP","NWR",46.0315,-123.3674,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Fishhawk Lake Reserve & Community","Kevin","Adolphson","9997 Beach Dr","Birkenfeld","OR","97016-7266","503-755-2132","yes","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","maybe septic?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","< 1MGD",32087,"GARIBALDI, CITY OF","GARIBALDI STP","206 S 7TH STREET","GARIBALDI","971HH","TILLAMOOK","NWR",45.5538,-123.9138,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City Of Garibaldi","Martin","McCormick","PO Box 708","Garibaldi","OR","97118-0708","(503) 322-0217","yes","","","","","","",NA,NA,NA,NA,"830","789","899","886","999",875.584376934,NA,"no","y",3,"2","North Coast","Wilson/Trask/Nestucca","Tillamook Bay",2011,"OR0020362","activated sludge","sequencing batch reactor",0,0,0,"yes",90,180,"90","180",0.36,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","< 1MGD",33733,"GLENDALE, CITY OF","GLENDALE STP","NORTH END OF SIXTH STREET","GLENDALE","97442","DOUGLAS","WR",42.7434,-123.4288,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact",NA,"Jacob","Brady","331 Merritt St","Glendale","OR","97442-9686","541-680-2707","yes","69","5.2","1977","","","Primary",865,2,7,NA,"865","874","855","707","712",251.681102765,NA,"no","y",3,"2","Umpqua","South Umpqua","Cow Creek",2011,"OR0022730","activated sludge","na",0,0,0,"yes",63,130,"63","130",0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","< 1MGD",33864,"GOLD BEACH, CITY OF","GOLD BEACH STP","500' W OF 94100 5TH PLACE","GOLD BEACH","97444","CURRY","WR",42.4097,-124.4233,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","City of Gold Beach","Will","Newdall","29592 Ellensburg Ave","Gold Beach","OR","97444-6700","541-247-7459","yes","","","","","","",NA,NA,NA,NA,"2,265","2,253","1,897","1,546","1,515",1699.88073489,NA,"no","remove?",3,"2","Rogue","Lower Rogue","Riley Creek",2011,"OR0020303","activated sludge","na",0,0,0,"no",67,67,"67","67",0.4,0.4,"only used if facility exceeds 2MGD drainfield capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","< 1MGD",33901,"GOLD HILL, CITY OF","GOLD HILL STP","2177 Second Ave","GOLD HILL","97525","JACKSON","WR",42.4374,-123.0767,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Legal Contact","City Of Gold Hill","Christina","Stanley","PO Box 308","Gold Hill","OR","97525-0308","541-855-1525","yes","","","","","","",NA,NA,NA,NA,"1,220","1,220","1,073","964","904",462.813473691,NA,"no","y",2,"2","Rogue","Middle Rogue","Rogue River",2010,"OR0022594","activated sludge","na",0,0,0,"yes",88,180,"88","180",0.35,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","< 1MGD",34136,"GOVERNMENT CAMP SANITARY DISTRICT","GOVERNMENT CAMP STP","OLD LOOP HWY","GOVERNMENT CAMP","97028","CLACKAMAS","NWR",45.3023,-121.7763,4952,"SEWERAGE SYSTEMS","NPDES-DOM-Da","Sewage - less than 1 MGD","MINOR","DOM","Facility Contact","Government Camp Sanitary District","Ken","Johannes","620 SW 5th Ave Ste 1100","Portland","OR","97204-1425","503-285-0595","yes","74.66","","","","","",648740,5,2,NA,"648,740","583,776","529,121","438,802","366,383",92863.1750605,NA,"?","y",3,"2","Sandy","Lower Columbia/Sandy","Camp Creek",2015,"OR0027791","activated sludge","sequencing batch reactor",0,0,1,"yes",52,104,"63","125",0.25,0.25,"unincorp. Community & census designated place",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
